"band","sex","primary_dose","secondary_dose","population","dppi46","quantity46","eyetot46","dppi49","quantity49","eyetot49","dppi56","quantity56","eyetot56","dppi63","quantity63","eyetot63","sec_maxeye","sec_maxload","year.x","sec_resist","sec_resist10","sec_toleye","sec_inf","sresid","dppi7","quantity7","eyetot7","dppi14","quantity14","eyetot14","dppi21","quantity21","eyetot21","dppi28","quantity28","eyetot28","dppi35","quantity35","eyetot35","dppi40","quantity40","eyetot40","dppi41","quantity41","eyetot41","year.y","prim_maxeye","prim_maxload","prim_resist","prim_resist10","prim_toleye","prim_inf","presid"
2455,"m","750","100","va",46,7.994287635,0,49,0,0,56,17.0964305,0,63,10.3630596,0,0,17.0964305,"2021",0,0,0,1,0.0557065889056163,7,120.1415033,0,14,NA,1,21,NA,1,28,NA,0,35,NA,0,NA,NA,NA,41,13.8529559,0,"2021",1,120.1415033,120.1415033,2.08329295871843,1,1,-0.0631615987913715
2458,"m","0","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2459,"m","750","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,2.682232458,0,"2021",0,2.682232458,0,0,0,0,NA
2460,"m","0","7000","va",46,0,1.5,49,90783.25887,3.5,56,3326.136417,4,63,19.75380782,1,4,90783.25887,"2021",90783.25887,4.95801055250195,4,1,-0.229499291063897,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2462,"f","750","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,193.8524386,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0.385845393,0,"2021",0,193.8524386,193.8524386,2.2897058454066,0,1,0.115492908562519
2465,"f","750","300","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,20762.80507,0,14,NA,0.5,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,5.554510702,0,"2021",0.5,20762.80507,20762.80507,4.31730694308194,0.5,1,0.220927311939093
2471,"m","0","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2472,"f","0","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0.863692481,0,"2021",0,0.863692481,0,0,0,0,NA
2473,"m","750","30","va",46,0.390147871,0,49,0,0,56,0,0,63,0,0,0,0.390147871,"2021",0,0,0,0,NA,7,12411.79429,0,14,NA,1,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",1,12411.79429,12411.79429,4.09386955814054,1,1,0.110153468868164
2474,"f","750","300","va",46,129.9688727,0,49,2393.653493,0,56,10.81907253,0,63,0,0,0,2393.653493,"2021",2393.653493,3.37924267976929,0,1,0.254744045940547,7,2.373632597,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,2.373632597,2.373632597,0.528097784304185,0,0,NA
